   n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 412,     6183,       3479,     25667,      3804,         564,      13783
 413,     6206,       3495,     26089,      3870,         564,      13836
 414,     6225,       3500,     25804,      3814,         572,      13725
 415,     6237,       3508,     25533,      4023,         558,      12175
 416,     6263,       3524,     24416,      4023,         556,       8001
 417,     6279,       3536,     16192,      3846,         565,       7930
 418,     6296,       3547,     15362,      3856,         556,       8002
 419,     6310,       3544,     15558,      3863,         557,       8176
 420,     6326,       3561,     16438,      3882,         565,       8749
 421,     6344,       3570,     16703,      3904,         566,       8511
 422,     6359,       3579,     16398,      3906,         567,       8870
 423,     6381,       3587,     20384,      3918,         570,      16801
 424,     6400,       3600,     28372,      3925,         573,       9463
 425,     6421,       3608,     15188,      3950,         577,       8477
 426,     6437,       3620,     16466,      4022,         564,      10486
 427,     6452,       3628,     16601,      3994,         581,       8474
 428,     6467,       3635,     18843,      4016,         585,       9211
 429,     6485,       3643,     15545,      3990,         576,       8945
 430,     6503,       3656,     16013,      4065,         582,       8647
 431,     6519,       3661,     16708,      4046,         582,       8210
 432,     6536,       3668,     18324,      4034,         585,       8539
 433,     6552,       3678,     17721,      4180,         577,       8356
 434,     6572,       3690,     15445,      4194,         582,       8257
 435,     6589,       3703,     15760,      4099,         597,       9077
 436,     6602,       3708,     20935,      4141,         590,       8383
 437,     6626,       3724,     15807,      4212,         599,       7937
 438,     6641,       3730,     15194,      4226,         587,       9420
 439,     6665,       3742,     16925,      4303,         594,       8465
 440,     6676,       3745,     17155,      4368,         605,      12450
 441,     6691,       3754,     20712,      4190,         608,       8807
 442,     6715,       3768,     21038,      4205,         616,      10440
 443,     6733,       3779,     16176,      4561,         607,      11197
 444,     6749,       3788,     20715,      4569,         602,       9191
 445,     6769,       3803,     17939,      4234,         615,      10284
 446,     6781,       3806,     18125,      4160,         603,      14066
 447,     6798,       3820,     15775,      4168,         595,       8463
 448,     6820,       3830,     19583,      4176,         595,      18030
 449,     6834,       3834,     26292,      4178,         595,      17316
 450,     6854,       3850,     20152,      4208,         607,      10771
 451,     6874,       3856,     18152,      4223,         600,      10645
 452,     6888,       3870,     26460,      4223,         603,      11018
 453,     6906,       3880,     19518,      4235,         608,      13277
 454,     6923,       3893,     19178,      4250,         612,       8544
 455,     6948,       3902,     17228,      4223,         594,      10304
 456,     6963,       3908,     17576,      4232,         595,       9726
 457,     6977,       3917,     21450,      4273,         609,      12468
 458,     6997,       3929,     25088,      4281,         611,      15725
 459,     7020,       3937,     26446,      4438,         615,      14908
 460,     7037,       3950,     20819,      4389,         609,       9442
 461,     7053,       3959,     19128,      4641,         613,      10445
 462,     7065,       3964,     22338,      4628,         616,      10627
 463,     7086,       3976,     20008,      4538,         616,      14876
 464,     7096,       3989,     20911,      4551,         617,      19505
 465,     7115,       3994,     19320,      4376,         624,       8911
 466,     7136,       4007,     20820,      4335,         622,       8751
 467,     7153,       4013,     20480,      4408,         621,      10121
 468,     7171,       4019,     20357,      4428,         629,      13980
 469,     7188,       4035,     19223,      4414,         626,      15711
 470,     7209,       4047,     29453,      4434,         620,      14548
 471,     7229,       4057,     21569,      4383,         620,      12224
 472,     7240,       4065,     18318,      4401,         625,      11238
 473,     7264,       4074,     33391,      4507,         616,       9811
 474,     7274,       4084,     20725,      4506,         609,       8716
 475,     7297,       4091,     18631,      4433,         621,       9681
 476,     7316,       4108,     17800,      4503,         629,       8707
 477,     7335,       4119,     18658,      4565,         623,      10601
 478,     7348,       4125,     17574,      4579,         632,       9584
 479,     7369,       4136,     20548,      4506,         640,      10934
 480,     7382,       4143,     28221,      4534,         637,      11046
 481,     7404,       4157,     17152,      4491,         644,       8612
 482,     7419,       4162,     17936,      4611,         653,      10842
 483,     7437,       4173,     18880,      4750,         643,       9550
 484,     7459,       4190,     19511,      4765,         645,      10973
 485,     7476,       4197,     21684,      4687,         644,      10865
 486,     7494,       4207,     18672,      4570,         654,       9673
 487,     7508,       4217,     17494,      4632,         647,       9207
 488,     7525,       4229,     18702,      4636,         647,       9115
 489,     7538,       4231,     18662,      4651,         661,       9934
 490,     7561,       4241,     19284,      4657,         660,      10456
 491,     7577,       4254,     21767,      4624,         658,       9260
 492,     7599,       4266,     18478,      4645,         662,       9679
 493,     7620,       4281,     32260,      4636,         663,      19204
 494,     7631,       4284,     32514,      4645,         667,      14582
 495,     7647,       4295,     31417,      4889,         671,      14960
 496,     7663,       4298,     33143,      4930,         674,      15199
 497,     7684,       4306,     19357,      4728,         673,      11145
 498,     7702,       4324,     19637,      4733,         656,      15853
 499,     7719,       4332,     33225,      4707,         649,      10663
 500,     7737,       4342,     18123,      4747,         661,      18491
 501,     7757,       4351,     33136,      4780,         688,      11561
 502,     7769,       4350,     31646,      4803,         682,      19274
 503,     7788,       4359,     47815,      4922,         674,      21337
 504,     7804,       4375,     29088,      4882,         673,       9876
 505,     7826,       4383,     29451,      4865,         691,      18035
 506,     7841,       4394,     22774,      4898,         675,      18338
 507,     7861,       4398,     29402,      4818,         681,       8973
 508,     7879,       4411,     29114,      4927,         684,      21414
 509,     7896,       4417,     32373,      4923,         687,       9762
 510,     7917,       4436,     19367,      4924,         689,      11466
 511,     7933,       4445,     19747,      4950,         663,      11609
 512,     7958,       4463,     19911,      4963,         665,      14010
 513,     7974,       4473,     18812,      5021,         682,      13651
 514,     7992,       4484,     21051,      5031,         686,      12734
 515,     8014,       4497,     31936,      5045,         686,      26935
 516,     8031,       4513,     50292,      5022,         701,      26617
 517,     8057,       4520,     26429,      5085,         697,      11787
 518,     8070,       4529,     22505,      5097,         694,      16359
 519,     8098,       4542,     23570,      5016,         684,      13011
 520,     8112,       4548,     24816,      5026,         685,      13530
 521,     8129,       4555,     28465,      4932,         678,      17877
 522,     8150,       4573,     35042,      4972,         682,      17938
 523,     8178,       4590,     28331,      4985,         695,      12096
 524,     8191,       4598,     22481,      5014,         697,      12416
 525,     8212,       4606,     22174,      5076,         705,      10224
 526,     8231,       4619,     28913,      5130,         717,      16509
 527,     8253,       4625,     34442,      5038,         689,      20536
 528,     8276,       4639,     19721,      5046,         690,      13369
 529,     8294,       4651,     33656,      5036,         687,      19594
 530,     8316,       4669,     21776,      5036,         697,      11037
 531,     8332,       4673,     20070,      5066,         722,       9831
 532,     8348,       4684,     19568,      5074,         723,      10343
 533,     8369,       4693,     21747,      5149,         713,      10790
 534,     8386,       4704,     19681,      5064,         713,      10554
 535,     8407,       4714,     19329,      5106,         706,      10530
 536,     8424,       4723,     19261,      5111,         705,      10175
 537,     8445,       4738,     19610,      5118,         710,      11085
 538,     8465,       4749,     21196,      5253,         705,      14152
 539,     8483,       4752,     25597,      5151,         728,      13356
 540,     8501,       4767,     39685,      5188,         729,      12891
 541,     8525,       4783,     31572,      5193,         721,      17516
 542,     8549,       4795,     35720,      5212,         728,      12508
 543,     8558,       4799,     26307,      5557,         734,      13277
 544,     8578,       4806,     23391,      5527,         733,      12913
 545,     8602,       4822,     33910,      5417,         743,      15890
